observation_date,GASREGCOVGCW
2013-07-08,3.284
2013-07-15,3.428
2013-07-22,3.491
2013-07-29,3.460
2013-08-05,3.431
2013-08-12,3.376
2013-08-19,3.364
2013-08-26,3.370
2013-09-02,3.413
2013-09-09,3.384
2013-09-16,3.312
2013-09-23,3.244
2013-09-30,3.186
2013-10-07,3.137
2013-10-14,3.121
2013-10-21,3.134
2013-10-28,3.083
2013-11-04,3.038
2013-11-11,2.987
2013-11-18,3.006
2013-11-25,3.136
2013-12-02,3.122
2013-12-09,3.102
2013-12-16,3.053
2013-12-23,3.051
2013-12-30,3.109
2014-01-06,3.115
2014-01-13,3.106
2014-01-20,3.101
2014-01-27,3.094
2014-02-03,3.087
2014-02-10,3.091
2014-02-17,3.171
2014-02-24,3.217
2014-03-03,3.224
2014-03-10,3.243
2014-03-17,3.273
2014-03-24,3.300
2014-03-31,3.320
2014-04-07,3.378
2014-04-14,3.458
2014-04-21,3.485
2014-04-28,3.491
2014-05-05,3.472
2014-05-12,3.442
2014-05-19,3.433
2014-05-26,3.428
2014-06-02,3.426
2014-06-09,3.411
2014-06-16,3.425
2014-06-23,3.484
2014-06-30,3.475
2014-07-07,3.461
2014-07-14,3.434
2014-07-21,3.396
2014-07-28,3.350
2014-08-04,3.310
2014-08-11,3.280
2014-08-18,3.258
2014-08-25,3.237
2014-09-01,3.218
2014-09-08,3.213
2014-09-15,3.168
2014-09-22,3.126
2014-09-29,3.142
2014-10-06,3.109
2014-10-13,3.013
2014-10-20,2.921
2014-10-27,2.841
2014-11-03,2.786
2014-11-10,2.743
2014-11-17,2.670
2014-11-24,2.594
2014-12-01,2.539
2014-12-08,2.447
2014-12-15,2.338
2014-12-22,2.200
2014-12-29,2.088
2015-01-05,2.012
2015-01-12,1.930
2015-01-19,1.858
2015-01-26,1.849
2015-02-02,1.865
2015-02-09,1.989
2015-02-16,2.081
2015-02-23,2.118
2015-03-02,2.217
2015-03-09,2.230
2015-03-16,2.221
2015-03-23,2.181
2015-03-30,2.179
2015-04-06,2.167
2015-04-13,2.170
2015-04-20,2.233
2015-04-27,2.301
2015-05-04,2.375
2015-05-11,2.424
2015-05-18,2.463
2015-05-25,2.486
2015-06-01,2.487
2015-06-08,2.526
2015-06-15,2.579
2015-06-22,2.565
2015-06-29,2.535
2015-07-06,2.514
2015-07-13,2.515
2015-07-20,2.478
2015-07-27,2.427
2015-08-03,2.381
2015-08-10,2.326
2015-08-17,2.333
2015-08-24,2.286
2015-08-31,2.191
2015-09-07,2.141
2015-09-14,2.097
2015-09-21,2.027
2015-09-28,2.023
2015-10-05,2.037
2015-10-12,2.059
2015-10-19,2.011
2015-10-26,1.952
2015-11-02,1.924
2015-11-09,1.981
2015-11-16,1.931
2015-11-23,1.860
2015-11-30,1.833
2015-12-07,1.817
2015-12-14,1.789
2015-12-21,1.779
2015-12-28,1.758
2016-01-04,1.750
2016-01-11,1.722
2016-01-18,1.674
2016-01-25,1.628
2016-02-01,1.596
2016-02-08,1.568
2016-02-15,1.536
2016-02-22,1.536
2016-02-29,1.565
2016-03-07,1.603
2016-03-14,1.751
2016-03-21,1.805
2016-03-28,1.858
2016-04-04,1.858
2016-04-11,1.827
2016-04-18,1.907
2016-04-25,1.914
2016-05-02,2.006
2016-05-09,1.995
2016-05-16,1.991
2016-05-23,2.060
2016-05-30,2.091
2016-06-06,2.137
2016-06-13,2.130
2016-06-20,2.094
2016-06-27,2.091
